tconst,averageRating,numVotes,titleType,title,originalTitle,isAdult,year,runtimeMinutes,imdb_genres
tt0057710,7.4,2434,movie,an actor's revenge,Yukinojô henge,0,1963,115,Drama
tt0057887,5.4,1498,movie,bikini beach,Bikini Beach,0,1964,99,"Comedy,Music,Romance"
tt0058126,8.3,2724,movie,hamlet,Gamlet,0,1964,140,Drama
tt0058150,7.7,185621,movie,goldfinger,Goldfinger,0,1964,110,"Action,Adventure,Thriller"
tt0058175,7.7,476,movie,hamlet,Hamlet,0,1964,191,Drama
tt0058177,5.6,11,movie,hamlet,Hamlet,0,1964,170,Drama
tt0058182,7.6,44404,movie,a hard day's night,A Hard Day's Night,0,1964,87,"Comedy,Musical"
tt0058329,7.1,48325,movie,marnie,Marnie,0,1964,130,"Crime,Drama,Mystery"
tt0058331,7.8,167891,movie,mary poppins,Mary Poppins,0,1964,139,"Comedy,Family,Fantasy"
tt0058333,7.0,14055,movie,the masque of the red death,The Masque of the Red Death,0,1964,89,"Drama,Horror"
tt0058385,7.8,93493,movie,my fair lady,My Fair Lady,0,1964,170,"Drama,Family,Musical"
tt0058440,4.9,1165,movie,pajama party,Pajama Party,0,1964,82,"Comedy,Musical,Romance"
tt0058450,7.8,26754,movie,the umbrellas of cherbourg,Les parapluies de Cherbourg,0,1964,91,"Drama,Musical,Romance"
tt0058461,7.9,211560,movie,a fistful of dollars,Per un pugno di dollari,0,1964,99,"Action,Drama,Western"
tt0058534,6.0,2816,movie,roustabout,Roustabout,0,1964,101,"Drama,Music,Musical"
tt0058576,7.8,15383,movie,seven days in may,Seven Days in May,0,1964,118,"Drama,Thriller"
tt0058604,8.2,9246,movie,soy cuba,Soy Cuba,0,1964,141,Drama
tt0058625,8.5,19395,movie,woman in the dunes,Suna no onna,0,1964,147,"Drama,Thriller"
tt0058694,5.8,4781,movie,two thousand maniacs!,Two Thousand Maniacs!,0,1964,83,Horror
tt0058898,7.0,24733,movie,alphaville,"Alphaville, une étrange aventure de Lemmy Caution",0,1965,99,"Drama,Mystery,Sci-Fi"
tt0058985,7.6,7227,movie,le bonheur,Le bonheur,0,1965,80,"Drama,Romance"
tt0059017,6.8,14615,movie,cat ballou,Cat Ballou,0,1965,97,"Comedy,Romance,Western"
tt0059044,5.1,1774,movie,color me blood red,Color Me Blood Red,0,1965,79,"Comedy,Horror"
tt0059113,8.0,75067,movie,doctor zhivago,Doctor Zhivago,0,1965,197,"Drama,Romance,War"
tt0059170,6.6,14722,movie,"faster, pussycat! kill! kill!","Faster, Pussycat! Kill! Kill!",0,1965,83,"Action,Comedy"
tt0059243,7.2,17474,movie,the great race,The Great Race,0,1965,160,"Action,Adventure,Comedy"
tt0059260,7.2,19649,movie,help!,Help!,0,1965,92,"Adventure,Comedy,Musical"
tt0059287,4.7,1464,movie,how to stuff a wild bikini,How to Stuff a Wild Bikini,0,1965,93,"Comedy,Musical"
tt0059297,6.3,3112,movie,i saw what you did,I Saw What You Did,0,1965,82,"Crime,Horror,Thriller"
tt0059319,7.2,15485,movie,the ipcress file,The Ipcress File,0,1965,109,Thriller
tt0059575,7.7,9357,movie,the pawnbroker,The Pawnbroker,0,1964,116,Drama
tt0059578,8.3,249415,movie,for a few dollars more,Per qualche dollaro in più,0,1965,132,Western
tt0059643,7.8,5272,movie,the saragossa manuscript,Rekopis znaleziony w Saragossie,0,1965,182,"Comedy,Drama,Fantasy"
tt0059646,7.6,52278,movie,repulsion,Repulsion,0,1965,105,"Drama,Horror,Thriller"
tt0059674,6.2,3350,movie,the sandpiper,The Sandpiper,0,1965,117,Drama
